iter	Passed	Remaining
402	7684	11383
403	7702	11363
404	7720	11341
405	7738	11321
406	7756	11300
407	7774	11280
408	7791	11258
409	7808	11237
410	7826	11216
411	7844	11195
412	7867	11182
413	7894	11173
414	7913	11154
415	7931	11134
416	7949	11114
417	7967	11093
418	7986	11073
419	8004	11053
420	8021	11032
421	8039	11011
422	8057	10990
423	8074	10969
424	8091	10947
425	8110	10927
426	8128	10907
427	8146	10887
428	8164	10866
429	8181	10845
430	8199	10824
431	8216	10803
432	8234	10782
433	8251	10761
434	8269	10740
435	8286	10719
436	8306	10701
437	8324	10680
438	8342	10660
439	8359	10638
440	8376	10618
441	8394	10597
442	8412	10577
443	8430	10557
444	8448	10536
445	8466	10516
446	8484	10496
447	8501	10475
448	8519	10454
449	8536	10433
450	8554	10413
451	8571	10391
452	8588	10370
453	8606	10350
454	8623	10329
455	8641	10308
456	8661	10290
457	8678	10270
458	8696	10249
459	8715	10230
460	8732	10209
461	8749	10189
462	8767	10168
463	8785	10148
464	8802	10128
465	8821	10108
466	8839	10088
467	8859	10071
468	8877	10051
469	8894	10030
470	8912	10009
471	8929	9989
472	8948	9969
473	8966	9950
474	8984	9930
475	9002	9910
476	9020	9890
477	9038	9870
478	9056	9850
479	9073	9829
480	9091	9809
481	9111	9792
482	9129	9771
483	9146	9751
484	9164	9731
485	9182	9711
486	9202	9693
487	9219	9673
488	9237	9653
489	9256	9634
490	9273	9613
491	9291	9593
492	9309	9573
493	9327	9553
494	9344	9533
495	9362	9513
496	9380	9493
497	9398	9473
498	9415	9453
499	9433	9433
500	9451	9413
501	9468	9393
502	9486	9373
503	9505	9354
504	9524	9335
505	9542	9316
506	9561	9297
507	9579	9277
508	9597	9257
509	9615	9237
510	9632	9217
511	9650	9198
512	9674	9184
513	9695	9167
514	9715	9149
515	9733	9130
516	9751	9110
517	9768	9089
518	9786	9069
519	9803	9049
520	9821	9029
521	9839	9009
522	9856	8989
523	9874	8970
524	9891	8949
525	9911	8931
526	9929	8911
527	9948	8893
528	9966	8873
529	9984	8853
530	10002	8834
531	10026	8819
532	10051	8806
533	10071	8788
534	10089	8769
535	10107	8749
536	10124	8729
537	10142	8709
538	10160	8690
539	10178	8670
540	10195	8650
541	10213	8630
542	10231	8610
543	10249	8591
544	10266	8571
545	10284	8551
546	10301	8531
547	10319	8511
548	10338	8493
549	10356	8473
550	10374	8453
551	10391	8434
552	10409	8414
553	10427	8394
554	10445	8375
555	10463	8355
556	10480	8335
557	10498	8315
558	10516	8296
559	10535	8277
560	10557	8261
561	10576	8242
562	10594	8223
563	10611	8203
564	10628	8183
565	10645	8163
566	10663	8143
567	10681	8123
568	10698	8104
569	10716	8084
570	10736	8066
571	10753	8046
572	10772	8027
573	10790	8007
574	10807	7988
575	10825	7968
576	10843	7949
577	10863	7931
578	10882	7913
579	10900	7893
580	10918	7873
581	10935	7854
582	10953	7834
583	10971	7815
584	10989	7796
585	11007	7776
586	11025	7757
587	11043	7737
588	11060	7718
589	11079	7698
590	11096	7679
591	11114	7659
592	11134	7642
593	11151	7622
594	11169	7602
595	11186	7583
596	11204	7563
597	11222	7543
598	11239	7524
599	11257	7504
600	11274	7485
601	11294	7466
602	11312	7447
603	11329	7428
604	11347	7408
605	11365	7389
606	11382	7369
607	11400	7350
608	11418	7331
609	11436	7311
610	11453	7292
611	11475	7275
612	11500	7260
613	11519	7241
614	11539	7223
615	11557	7204
616	11575	7185
617	11592	7165
