iter	MultiClass
0	1.600753811
1	1.591207645
2	1.582727873
3	1.574783551
4	1.566268579
5	1.55801816
6	1.549870282
7	1.54401815
8	1.53610502
9	1.528611635
10	1.52063964
11	1.513106396
12	1.505127604
13	1.49855578
14	1.492082661
15	1.485470997
16	1.479195681
17	1.472952767
18	1.466150374
19	1.460305293
20	1.45509569
21	1.448544751
22	1.442660424
23	1.436632809
24	1.431305071
25	1.425756139
26	1.420339931
27	1.415452058
28	1.410414715
29	1.405159262
30	1.400333111
31	1.395840989
32	1.390781879
33	1.385565512
34	1.38067207
35	1.375807946
36	1.371117788
37	1.367018859
38	1.362846011
39	1.358490085
40	1.353921659
41	1.349393933
42	1.345634087
43	1.341859738
44	1.337320583
45	1.3327208
46	1.329414442
47	1.325268653
48	1.32177758
49	1.317311487
50	1.313963404
51	1.309585519
52	1.306296399
53	1.302177217
54	1.298847235
55	1.295392716
56	1.292245968
57	1.289112206
58	1.285667223
59	1.281762174
60	1.278599289
61	1.275802356
62	1.272968782
63	1.269912191
64	1.267117111
65	1.264236971
66	1.260871081
67	1.258159139
68	1.255542416
69	1.252860849
70	1.249514919
71	1.246447633
72	1.243103524
73	1.239953407
74	1.236968196
75	1.234146186
76	1.23105406
77	1.22826873
78	1.225229061
79	1.222168497
80	1.219533824
81	1.216348026
82	1.213204461
83	1.211108425
84	1.207847575
85	1.205328386
86	1.202659461
87	1.199972245
88	1.197163026
89	1.194805411
90	1.192273479
91	1.189499717
92	1.186909631
93	1.184468449
94	1.181840989
95	1.1797565
96	1.177287352
97	1.174346621
98	1.171674591
99	1.169046052
100	1.166828518
101	1.164304887
102	1.161320552
103	1.158914998
104	1.156230666
105	1.153622084
106	1.151507036
107	1.148783261
108	1.146687997
109	1.144919715
110	1.142986908
111	1.140395053
112	1.138311886
113	1.135913998
114	1.133292871
115	1.131745849
116	1.129923997
117	1.127644566
118	1.126104486
119	1.124042126
120	1.121624572
121	1.119653435
122	1.117501681
123	1.114937377
124	1.112412044
125	1.109946534
126	1.107981203
127	1.106520547
128	1.105026825
129	1.103500871
130	1.101646457
131	1.099656839
132	1.097743111
133	1.095838754
134	1.094017224
135	1.092070482
136	1.091097269
137	1.089041266
138	1.087141526
139	1.085145753
140	1.083378035
141	1.081976557
142	1.080756191
143	1.078717399
144	1.076603938
145	1.074579526
146	1.072800506
147	1.070787354
148	1.069924803
149	1.06907653
150	1.068034253
151	1.06615307
152	1.064092635
